EntrezA	EntrezB	num_dbs	dbs
3767	6833	2	dip,pid2
10152	55845	2	dip,pid2
10152	10787	2	dip,pid2
10152	8936	2	dip,pid2
10152	10163	2	dip,pid2
55845	10787	2	dip,pid2
55845	8936	2	dip,pid2
55845	10163	2	dip,pid2
10787	5879	2	dip,pid2
10787	8936	2	dip,pid2
10787	10163	2	dip,pid2
8936	5879	2	dip,pid2
8936	10163	2	dip,pid2
10163	5879	2	dip,pid2
25	472	2	dip,pid2
25	857	2	dip,pid2
25	1398	2	dip,pid2
25	2889	2	dip,pid2
472	4683	2	dip,pid2
472	4851	2	dip,pid2
472	6118	2	dip,pid2
472	7013	2	dip,pid2
472	7014	2	dip,pid2
472	7157	2	dip,pid2
857	1956	2	dip,pid2
857	355	2	dip,pid2
857	4846	2	dip,pid2
857	5335	2	dip,pid2
1398	9564	2	dip,pid2
1398	867	2	dip,pid2
1398	1793	2	dip,pid2
1398	5829	2	dip,pid2
1398	2889	2	dip,pid2
2889	5906	2	dip,pid2
25913	65057	2	dip,pid2
25913	7013	2	dip,pid2
25913	54386	2	dip,pid2
25913	7014	2	dip,pid2
25913	26277	2	dip,pid2
65057	7013	2	dip,pid2
65057	54386	2	dip,pid2
65057	7014	2	dip,pid2
65057	7015	2	dip,pid2
65057	26277	2	dip,pid2
7013	54386	2	dip,pid2
7013	7014	2	dip,pid2
7013	26277	2	dip,pid2
54386	4361	2	dip,pid2
54386	4683	2	dip,pid2
54386	10111	2	dip,pid2
54386	26277	2	dip,pid2
54386	7014	2	dip,pid2
7014	64858	2	dip,pid2
7014	4361	2	dip,pid2
7014	4683	2	dip,pid2
7014	10111	2	dip,pid2
7014	26277	2	dip,pid2
7015	1499	2	dip,pid2
7015	1736	2	dip,pid2
7015	6597	2	dip,pid2
23410	84532	2	dip,pid2
58	2934	2	dip,pid2
2934	367	2	dip,pid2
2934	8976	2	dip,pid2
10096	10097	2	dip,pid2
10096	10095	2	dip,pid2
10096	10109	2	dip,pid2
10096	10094	2	dip,pid2
10096	10093	2	dip,pid2
10096	10092	2	dip,pid2
10096	8976	2	dip,pid2
10097	10095	2	dip,pid2
10097	10109	2	dip,pid2
10097	10094	2	dip,pid2
10097	10093	2	dip,pid2
10097	10092	2	dip,pid2
10095	10109	2	dip,pid2
10095	10094	2	dip,pid2
10095	10093	2	dip,pid2
10095	10092	2	dip,pid2
10109	10094	2	dip,pid2
10109	10093	2	dip,pid2
10109	10092	2	dip,pid2
10094	10093	2	dip,pid2
10094	10092	2	dip,pid2
10093	10092	2	dip,pid2
8976	4690	2	dip,pid2
90	92	2	dip,pid2
92	94	2	dip,pid2
92	3624	2	dip,pid2
