Interactome	Fold	Prediction Method	Test Set	P@k
APID	1	L3	Held-out	0.05217459
APID	2	L3	Held-out	0.05167848
APID	3	L3	Held-out	0.053987778
APID	4	L3	Held-out	0.055042655
APID	5	L3	Held-out	0.055838947
APID	6	L3	Held-out	0.053559612
APID	7	L3	Held-out	0.054583707
APID	8	L3	Held-out	0.054348672
APID	9	L3	Held-out	0.053702767
APID	10	L3	Held-out	0.056234909
BIND	1	L3	Held-out	0.121757925
BIND	2	L3	Held-out	0.138571429
BIND	3	L3	Held-out	0.142755175
BIND	4	L3	Held-out	0.139338494
BIND	5	L3	Held-out	0.160493827
BIND	6	L3	Held-out	0.138252149
BIND	7	L3	Held-out	0.145533141
BIND	8	L3	Held-out	0.121794872
BIND	9	L3	Held-out	0.120087336
BIND	10	L3	Held-out	0.135424091
BioGRID	1	L3	Held-out	0.100327526
BioGRID	2	L3	Held-out	0.100563624
BioGRID	3	L3	Held-out	0.100409038
BioGRID	4	L3	Held-out	0.100734229
BioGRID	5	L3	Held-out	0.098630137
BioGRID	6	L3	Held-out	0.09928888
BioGRID	7	L3	Held-out	0.098373231
BioGRID	8	L3	Held-out	0.100438223
BioGRID	9	L3	Held-out	0.100877673
BioGRID	10	L3	Held-out	0.099074525
BioPlex 293T	1	L3	Held-out	0.078507411
BioPlex 293T	2	L3	Held-out	0.08230842
BioPlex 293T	3	L3	Held-out	0.078691347
BioPlex 293T	4	L3	Held-out	0.076645161
BioPlex 293T	5	L3	Held-out	0.080010313
BioPlex 293T	6	L3	Held-out	0.07811558
BioPlex 293T	7	L3	Held-out	0.080586713
BioPlex 293T	8	L3	Held-out	0.080427108
BioPlex 293T	9	L3	Held-out	0.080688172
BioPlex 293T	10	L3	Held-out	0.081308491
BioPlex HCT116	1	L3	Held-out	0.111062591
BioPlex HCT116	2	L3	Held-out	0.106858054
BioPlex HCT116	3	L3	Held-out	0.111725342
BioPlex HCT116	4	L3	Held-out	0.105255517
BioPlex HCT116	5	L3	Held-out	0.109067017
BioPlex HCT116	6	L3	Held-out	0.105163361
BioPlex HCT116	7	L3	Held-out	0.111969675
BioPlex HCT116	8	L3	Held-out	0.111756168
BioPlex HCT116	9	L3	Held-out	0.106893543
BioPlex HCT116	10	L3	Held-out	0.096915017
ComPPI	1	L3	Held-out	0.074223277
ComPPI	2	L3	Held-out	0.072882759
ComPPI	3	L3	Held-out	0.072939943
ComPPI	4	L3	Held-out	0.073100061
ComPPI	5	L3	Held-out	0.071284725
ComPPI	6	L3	Held-out	0.072912929
ComPPI	7	L3	Held-out	0.074434907
ComPPI	8	L3	Held-out	0.075533118
ComPPI	9	L3	Held-out	0.073825689
ComPPI	10	L3	Held-out	0.073819577
DIP	1	L3	Held-out	0.432086614
DIP	2	L3	Held-out	0.414634146
DIP	3	L3	Held-out	0.3962818
DIP	4	L3	Held-out	0.419921875
DIP	5	L3	Held-out	0.414945919
DIP	6	L3	Held-out	0.407480315
DIP	7	L3	Held-out	0.422396857
DIP	8	L3	Held-out	0.419038273
DIP	9	L3	Held-out	0.435294118
DIP	10	L3	Held-out	0.405484819
GeneMANIA	1	L3	Held-out	0.081153968
GeneMANIA	2	L3	Held-out	0.081010745
GeneMANIA	3	L3	Held-out	0.081603381
GeneMANIA	4	L3	Held-out	0.080749609
GeneMANIA	5	L3	Held-out	0.08011612
GeneMANIA	6	L3	Held-out	0.080959907
GeneMANIA	7	L3	Held-out	0.08020853
GeneMANIA	8	L3	Held-out	0.081070171
GeneMANIA	9	L3	Held-out	0.080391652
GeneMANIA	10	L3	Held-out	0.079842651
Havugimana	1	L3	Held-out	0.174114022
Havugimana	2	L3	Held-out	0.185156848
Havugimana	3	L3	Held-out	0.174712644
Havugimana	4	L3	Held-out	0.15530303
Havugimana	5	L3	Held-out	0.174079755
Havugimana	6	L3	Held-out	0.161141095
Havugimana	7	L3	Held-out	0.166034875
Havugimana	8	L3	Held-out	0.163060278
Havugimana	9	L3	Held-out	0.165384615
Havugimana	10	L3	Held-out	0.169230769
Hein	1	L3	Held-out	0.108711567
Hein	2	L3	Held-out	0.123031856
Hein	3	L3	Held-out	0.101571063
Hein	4	L3	Held-out	0.108473338
Hein	5	L3	Held-out	0.107441016
Hein	6	L3	Held-out	0.11410864
Hein	7	L3	Held-out	0.108711567
Hein	8	L3	Held-out	0.124225865
Hein	9	L3	Held-out	0.106055046
Hein	10	L3	Held-out	0.116032211
HuRI	1	L3	Held-out	0.073570837
HuRI	2	L3	Held-out	0.077485866
HuRI	3	L3	Held-out	0.071761572
HuRI	4	L3	Held-out	0.074875208
HuRI	5	L3	Held-out	0.073377704
HuRI	6	L3	Held-out	0.071595072
HuRI	7	L3	Held-out	0.066269052
