3320,673
4087,6997
10987,5243
7205,9564
3569,6654
2626,405
3658,7037
1027,7325
5525,8312
10298,3082
2011,7532
27343,7518
23043,4214
59,7529
10524,2908
29904,6195
30011,3265
51564,5966
132671,8626
4609,4869
23411,3065
675,83990
19,7124
3569,7157
4233,6714
1432,3065
2932,6502
1958,999
1017,898
2353,999
6514,6927
5578,6386
11336,54536
5062,8874
6117,7156
1017,1387
3685,4811
4149,4953
387,5329
338,3569
2549,3791
2100,9112
1499,4762
5781,5979
1978,673
1017,2932
4738,7325
5579,8766
6550,998
3875,8717
