23633,3843
11047,5692
1152,7171
23637,4999
10096,11151
168400,832
10001,54797
5211,8624
6597,6760
11047,5701
10856,29767
51728,9533
1892,7165
1479,23283
1939,60528
59272,847
2071,2967
6428,6625
1477,5595
3692,6133
26528,29934
6432,8668
3145,9540
24148,9129
23171,7167
10946,9092
5870,9230
10492,202559
554235,7334
6176,6188
10048,10296
10006,10163
10146,3945
1432,5496
3956,871
1939,813
57634,8089
10521,3611
6184,7184
10327,27236
10409,7514
10938,128240
27339,6184
27089,81876
26136,3704
6168,6224
6125,6209
5683,5711
10054,5683
11157,6634
