1107,9219
3065,25942
10093,10095
1107,57459
7532,7534
4361,10111
3065,5931
10092,10093
3065,23028
1977,1978
5829,7414
7529,7532
6117,6118
7531,7532
5515,5518
9219,57459
5518,5520
3611,3987
10051,10592
9493,29127
7014,54386
10094,10096
1017,1163
10093,10094
7532,7533
10093,10097
6599,6605
6597,6605
10163,10787
55763,55770
3065,9112
10095,10109
983,9133
7529,7534
10092,10095
5928,9219
5515,5520
5983,5985
2547,7520
7533,7534
10097,10109
10093,10096
1107,54815
5982,5983
10095,10096
4683,10111
4171,4176
10092,10097
55763,60412
5983,5984
