5908,7385
6168,6217
23020,9343
8662,8666
10291,10594
11269,1478
285590,54585
1047,3839
6141,6152
23636,51
4191,6390
5701,790
8881,996
5682,5686
118460,5683
6146,6217
523,9521
3419,6175
51143,6993
231,3028
399687,9879
445,64105
5426,8761
3313,7879
2935,8761
7163,7430
6136,6202
29093,51253
25896,57508
6147,6201
1396,6647
51073,55052
1736,64794
54919,55156
506,9945
55703,55718
10594,9129
29074,9801
1650,9217
23521,26986
28991,54939
158,7167
54939,79716
11224,6188
18,2023
10963,11080
2280,3336
6133,6207
55275,55610
25824,3094
