1978,7248
1457,2810
3725,672
3364,5883
4000,4926
4149,672
25942,5928
1843,4313
213,3169
26060,367
3320,4149
2100,8204
2056,54583
5757,8295
55143,9212
2736,5744
6667,8202
1050,947
5578,5582
4790,6772
2335,7094
4088,58190
5743,920
28996,5743
5337,55349
11200,5515
1436,5079
5599,6898
4922,6347
2057,3717
2309,6774
11213,3654
23636,9972
1386,1906
472,54386
2305,7515
5914,596
6009,6198
64782,7161
2264,867
3630,9322
1457,207
2904,2932
3726,7124
3593,51561
356,5783
3659,8851
2066,5290
1031,7029
3082,4684
