52,115939
3658,54762
55140,376267
10788,51566
3704,8667
9411,54765
30832,57405
9600,26118
10480,10901
2720,9411
6497,79657
27246,51072
23597,54913
8669,11016
83608,83987
4440,112574
23370,64093
55561,64288
1993,10043
904,9765
10570,50617
2639,10243
2073,54926
10155,51759
1917,28972
6874,9403
2068,10570
10043,57805
2239,84838
5160,6879
28988,79781
26205,51501
4331,9819
2968,6497
4209,284403
6617,84895
11016,200081
2794,114882
11215,653333
5073,115106
55011,57132
10542,151393
2720,27296
11215,64426
56134,220001
10379,23016
3298,26507
23545,58513
25852,55684
57226,145553
