8936,10787
6598,6605
3065,25942
5982,5985
5984,5985
3065,5928
1977,1978
10092,10096
1977,1981
1495,1499
1108,5928
3065,3066
5515,5518
5291,5295
5518,5520
3611,3987
10051,10592
9493,29127
7014,54386
6597,6605
6599,6602
1017,1163
6597,6602
6597,6599
7532,7533
3065,9219
3066,5928
5591,7520
3066,5931
10092,10095
5928,9219
5983,5985
2547,7520
54815,57459
6597,6601
23265,60412
1107,54815
6599,6601
10095,10096
3066,9219
7529,7533
1398,1793
10092,10097
8607,10856
6240,6241
55763,60412
6921,6923
5983,5984
1973,1981
10419,79084
