2353,3559
7132,7329
8546,23210
7314,7534
790,10524
515,7168
5786,6714
3265,3643
1869,6774
3717,4609
2617,57019
7511,51382
2113,7525
356,2885
2673,3945
7094,7448
481,515
4609,4922
6128,6169
5439,404672
1956,5338
5214,27236
978,25932
4846,7412
6667,7054
3146,7422
9564,79834
641,22909
6156,6191
6136,6194
4803,5879
4205,6613
90,4092
3998,30968
1387,3164
7314,10989
920,3725
857,4087
5295,7430
10138,10238
999,3576
515,4713
6130,55299
3675,6667
5725,220988
3627,4283
9126,23450
3565,4790
3791,5795
481,6154
