2064,2065
1977,8672
673,5604
8881,10393
2932,8312
596,637
5435,5440
9219,53615
1874,5934
672,675
408,409
990,5347
1000,8826
53615,54815
6632,6636
8408,9821
868,30011
6878,83860
5155,5159
637,4170
5687,5694
6597,7015
3643,3667
2260,9965
3643,5295
6794,92335
2060,6453
2064,3320
149371,23265
3065,5600
472,7013
9126,10274
5817,25945
8243,23244
149371,54536
5819,25945
10092,10552
581,2932
51343,26271
5689,5693
29945,64682
996,29945
2967,2968
6256,7421
598,27113
5683,5692
5499,5511
5393,56915
6256,10499
4193,4194
